,budget,gross,runtime,score,votes,Year_Released
285,12000000,9217530,124,6.9,2500,1982
286,17000000,946461,105,5.1,684,1983
287,11000000,1736123,90,6.4,1500,1982
288,35589876,13258670,103,5.7,3800,1982
289,35589876,2370376,95,4.9,501,1982
290,35589876,10054150,84,4.7,2000,1982
291,35589876,9823934,110,5.6,2400,1982
292,35589876,13111101,110,6.2,5100,1982
293,35589876,263635,110,6.5,768,1982
294,35589876,2977706,108,6.3,2000,1982
295,4000000,6328816,96,5.3,1100,1982
296,10000000,3583513,117,5.7,1800,1982
297,35589876,6668025,107,5.7,818,1982
298,35589876,3700,121,7,3000,1983
299,5000000,3792188,87,6.2,1100,1982
300,5000000,6660333,90,5.6,2900,1982
301,35589876,7241180,90,6.2,2100,1982
302,35589876,143369,94,6.2,683,1982
303,10000000,8000000,107,6.5,1300,1982
304,35589876,1474249,97,5.9,914,1982
305,7000000,21134374,90,6,3100,1982
306,35589876,2914328,90,3.5,322,1982
307,13400000,2869638,103,4.7,984,1982
308,35589876,3723036,112,7.4,4100,1983
309,35589876,16894678,87,5.7,1500,1982
310,35589876,23671186,97,5.8,1400,1982
311,35589876,42914,97,6.5,3000,1982
312,15000000,199078,108,6.1,1000,1982
313,35589876,3178542,108,4.4,538,1982
314,35589876,8693512,103,6.8,785,1982
315,6000000,6062898,93,5.3,1200,1982
316,35589876,36299720,82,7.7,3900,1982
317,35589876,78350,74,7.1,1800,1982
318,35589876,12408066,121,5.1,838,1982
319,19000000,2279543,110,3.9,653,1982
320,35589876,6968359,108,6.2,895,1982
321,35589876,3783329,109,7.2,1300,1983
322,35589876,3355948,98,6.1,460,1982
323,35589876,22440,106,5.8,665,1982
324,35589876,78500541,78,6.8,352,1982
325,35589876,5124391,94,6.3,256,1982
326,35589876,78500541,96,5.7,253,1982
327,10000,78500541,98,3.8,651,1983
328,35589876,78500541,80,7,240,1982
329,435000,78500541,90,6.7,75,1982
330,35589876,777087,106,6.8,336,1982
331,25000000,65884703,170,8.3,766000,1983
332,10000000,25697647,91,7.1,78000,1983
333,32500000,475106177,131,8.3,973000,1983
334,6200000,63541777,99,6.8,83000,1983
335,15000000,61399552,98,7.4,100000,1983
336,15000000,90404800,116,7.5,141000,1983
337,39000000,59950623,125,5,66000,1983
338,8000000,56399659,105,7.2,34000,1983
339,22000000,64892670,93,4.7,15000,1983
340,20500000,87987055,99,3.7,41000,1983
341,9700000,21017849,110,6.7,75000,1983
342,350000,78500541,84,6.3,28000,1983
343,4000000,92921203,95,6.2,50000,1983
344,12000000,79567667,114,7.1,93000,1983
345,27000000,21192315,193,7.8,57000,1984
346,47000000,16916617,121,6.1,31000,1983
347,35589876,24071666,102,4.9,2800,1983
348,10000000,20766616,103,7.2,65000,1983
349,27500000,67893619,131,6.5,98000,1983
350,3500000,14049540,89,5.3,6100,1983
351,350000,17343596,99,6.4,14000,1983
352,10000000,2494480,94,7.2,32000,1983
353,5952000,2120439,87,7.2,86000,1983
354,8000000,108423749,132,7.4,57000,1983
355,10000000,29450919,101,6.5,34000,1983
356,36000000,55432841,134,6.2,63000,1983
357,3300000,20653717,93,7.9,134000,1983
358,5000000,21156152,93,6.1,41000,1983
359,22000000,67642693,117,6.6,42000,1983
360,35589876,5988322,97,6.7,24000,1983
361,35589876,64783827,91,6.6,22000,1983
362,22000000,42313354,109,6.4,18000,1983
363,7500000,19910002,100,5.9,8700,1983
364,5000000,34725000,113,6.5,25000,1983
365,35589876,5899678,111,7.4,22000,1983
366,35589876,9190819,123,7.2,14000,1983
367,10000000,35615609,131,7.2,19000,1984
368,5600000,17233166,91,5.9,16000,1983
369,11000000,4218594,96,5.7,11000,1983
370,35589876,22587834,97,5.2,3300,1983
371,12000000,40218899,133,6.6,13000,1984
372,1200000,760883,81,6.6,10000,1983
373,35589876,4786789,95,6.9,6900,1983
374,6500000,4300000,96,6,7500,1983
375,9000000,14949697,107,7.5,115000,1983
376,35589876,55269,125,8.1,24000,1982
377,35589876,20307325,96,5,3200,1984
378,35589876,5678950,85,3.5,8200,1983
379,457000,11919250,80,4.6,4600,1983
380,6500000,33759266,98,5,11000,1983
381,19000000,8400000,95,6.8,8600,1983
382,35589876,8443124,92,7.4,9700,1983
383,12000000,6472990,103,6.7,6000,1984
384,15000000,15856028,128,6.7,13000,1983
385,5000000,12232628,107,6.3,11000,1983
386,35589876,29309766,95,6.3,8200,1983
387,35589876,2306560,123,7.3,16000,1983
388,7000000,1246141,100,4.9,4200,1983
389,800000,2082215,80,4.7,3000,1983
390,15000000,10219460,106,6.4,11000,1983
391,35589876,10353438,93,6.4,25000,1983
392,3000000,17488564,94,5.7,2900,1984
393,4520000,7175592,101,6.3,7200,1983
394,14500000,30503151,105,6.4,9300,1983
395,35589876,10375893,89,5.2,5400,1983
396,250000,4319001,93,5.2,1900,1983
397,35589876,13000000,96,4.9,3700,1983
398,25000000,1402962,111,5,1500,1984
399,14000000,23646952,88,4.7,3900,1983
400,1250000,6149983,95,5,2100,1983
401,14400000,16478265,90,5.5,5500,1983
402,19000000,28445927,105,6.1,5100,1983
403,35589876,29600000,105,7.5,7800,1984
404,35589876,694497,112,7.1,3300,1983
405,8000000,30379,77,6.5,3400,1987
406,2500000,10676194,98,4,3600,1983
407,35589876,14648076,110,7.2,13000,1983
408,35589876,5563663,83,4.3,1200,1983
409,9500000,5696391,128,7,7200,1983
410,6000000,6333135,105,4.1,6000,1983
411,35589876,2044892,90,7,5800,1984
412,6500000,6486797,103,5.9,8200,1983
413,700000,13168027,90,6.1,4700,1983
414,35589876,11798616,79,7.7,41000,1983
415,35589876,78500541,110,6.5,458,1983
416,35589876,78500541,89,4.6,2300,1985
417,9000000,13030214,107,6.8,10000,1983
418,35589876,123572,130,6,3100,1983
419,8000000,724912,98,4.7,1100,1983
420,35589876,15543710,91,5.6,7400,1983
421,35589876,2810199,88,4.4,2900,1983
422,4000000,1080470,88,6.1,2900,1983
423,11000000,4491986,109,4.3,5700,1983
424,8000000,16134627,100,5.5,4400,1983
425,11800000,5997566,104,5.7,1200,1983
426,12000000,14000000,103,5.8,4700,1983
427,5000000,1223200,92,3,938,1983
428,35589876,5555305,109,6.3,6500,1983
429,35589876,5310748,118,7.6,4900,1983
430,35589876,11787127,102,6.6,2600,1983
431,35589876,78500541,127,7,1700,1983
432,19000000,10964740,110,5.3,2200,1983
433,6000000,6670680,99,5.8,3000,1983
434,10000000,10369581,99,4.6,3600,1983
435,5000000,1262691,95,5.7,1100,1983
436,35589876,17613720,98,6.6,3300,1983
437,35589876,6347072,101,4.9,2100,1983
438,3000000,1867792,105,6.3,1700,1983
439,35589876,1772889,130,6.6,1600,1983
440,35589876,78500541,85,5.2,1700,1983
441,35589876,687475,130,6.6,1200,1984
442,35589876,272278,113,6.7,1300,1983
443,550000,5269990,88,5.9,701,1984
444,5500000,1645711,92,6.7,1100,1983
445,12000000,1963756,99,6.2,2100,1983
446,35589876,1362303,94,5.5,2700,1983
447,35589876,12049514,103,6,2100,1983
448,35589876,5301085,84,3.8,1600,1983
449,220000,975414,96,3.7,208,1983
450,300000,1530839,110,6.8,1600,1983
451,35589876,78500541,89,5.8,115,1983
452,10100000,10171304,95,5.2,747,1983
453,8000000,3000000,106,6.7,659,1983
454,35589876,1818910,100,5.1,786,1983
455,5000000,4304286,91,5.3,456,1983
456,35589876,1723487,86,4.3,617,1983
457,35589876,2443487,111,3.8,513,1983
458,35589876,2439705,122,6.1,681,1983
459,35589876,6857733,103,5.2,786,1983
460,35589876,78500541,105,4.7,460,1983
461,35589876,2314561,99,6.1,368,1983
462,35589876,78500541,111,6.3,661,1983
463,35589876,108128,89,4.9,360,1984
464,100000,78500541,92,6,235,1985
465,35589876,16156776,83,7.3,2200,1983
466,3000000,78500541,95,4.9,300,1983
467,50000,26177,115,7.2,826,1985
468,35589876,78500541,96,5.4,169,1983
469,35589876,78500541,92,4.5,131,1983
470,2500000,78500541,95,5.4,182,1983
471,3000,78500541,80,5,275,1983
472,35589876,78500541,84,6.7,51,1986
473,35589876,6666725,94,5.3,313,1983
474,323562,78500541,55,8.3,79,1983
475,6400000,78371200,107,8,812000,1984
476,40000000,30925690,137,6.5,132000,1984
477,30000000,296187079,105,7.8,365000,1984
478,8000000,91119319,126,7.3,205000,1984
479,30000000,5473212,229,8.4,321000,1984
480,4500000,81198894,96,6.7,118000,1984
481,28000000,333107271,118,7.5,459000,1984
482,10000000,8801940,114,6.8,30000,1984
483,1800000,25507137,91,7.5,212000,1984
484,18000000,52066791,160,8.3,377000,1984
485,14000000,316360478,105,7.3,171000,1984
486,17000000,38376497,114,6.4,53000,1984
487,27000000,20251411,102,7.4,135000,1984
488,8200000,80039064,107,6.6,73000,1984
489,8000000,40874452,90,6.6,50000,1984
490,11000000,153633143,106,7.3,204000,1984
491,10000000,86572238,106,6.9,86000,1984
492,14500000,8089290,93,6.7,19000,1984
493,6500000,23686027,93,7,108000,1984
494,35589876,2207548,145,8.1,96000,1984
495,2500000,4736202,82,7.9,132000,1984
496,35589876,8430492,113,7.1,68000,1985
